Nazwa pliku;Oczekiwana wiadomość;Odczytana wiadomość;Ocena
1002-v1.png;1002;1002;Poprawna
1002-v2.png;1002;1002;Poprawna
1002-v3.png;1002;1002;Poprawna
1002-v4.png;1002;1002;Poprawna
1011-v1.png;1011;1011;Poprawna
1011-v2.png;1011;1011;Poprawna
1011-v3.png;1011;1011;Poprawna
1011-v4.png;1011;1011;Poprawna
1015-v1.png;1015;1015;Poprawna
1015-v2.png;1015;1015;Poprawna
1015-v3.png;1015;1015;Poprawna
1015-v4.png;1015;1015;Poprawna
1026-v1.png;1026;1026;Poprawna
1026-v2.png;1026;1026;Poprawna
1026-v3.png;1026;1026;Poprawna
1026-v4.png;1026;1026;Poprawna
1029-v1.png;1029;1029;Poprawna
1029-v2.png;1029;1029;Poprawna
1029-v3.png;1029;1029;Poprawna
1029-v4.png;1029;1029;Poprawna
1031-v1.png;1031;1031;Poprawna
1031-v2.png;1031;1031;Poprawna
1031-v3.png;1031;1031;Poprawna
1031-v4.png;1031;1031;Poprawna
1034-v1.png;1034;1034;Poprawna
1034-v2.png;1034;1034;Poprawna
1034-v3.png;1034;1034;Poprawna
1034-v4.png;1034;1034;Poprawna
1036-v1.png;1036;1036;Poprawna
1036-v2.png;1036;1036;Poprawna
1036-v3.png;1036;1036;Poprawna
1036-v4.png;1036;1036;Poprawna
1046-v1.png;1046;1046;Poprawna
1046-v2.png;1046;1046;Poprawna
1046-v3.png;1046;1046;Poprawna
1046-v4.png;1046;1046;Poprawna
1048-v1.png;1048;1048;Poprawna
1048-v2.png;1048;1048;Poprawna
1048-v3.png;1048;1048;Poprawna
1048-v4.png;1048;1048;Poprawna
1050-v1.png;1050;1050;Poprawna
1050-v2.png;1050;1050;Poprawna
1050-v3.png;1050;1050;Poprawna
1050-v4.png;1050;1050;Poprawna
1051-v1.png;1051;1051;Poprawna
1051-v2.png;1051;1051;Poprawna
1051-v3.png;1051;1051;Poprawna
1051-v4.png;1051;1051;Poprawna
1055-v1.png;1055;1055;Poprawna
1055-v2.png;1055;1055;Poprawna
1055-v3.png;1055;1055;Poprawna
1055-v4.png;1055;1055;Poprawna
1060-v1.png;1060;1060;Poprawna
1060-v2.png;1060;1060;Poprawna
1060-v3.png;1060;1060;Poprawna
1060-v4.png;1060;1060;Poprawna
1064-v1.png;1064;1064;Poprawna
1064-v2.png;1064;1064;Poprawna
1064-v3.png;1064;1064;Poprawna
1064-v4.png;1064;1064;Poprawna
1065-v1.png;1065;1065;Poprawna
1065-v2.png;1065;1065;Poprawna
1065-v3.png;1065;1065;Poprawna
1065-v4.png;1065;1065;Poprawna
1082-v1.png;1082;1082;Poprawna
1082-v2.png;1082;1082;Poprawna
1082-v3.png;1082;1082;Poprawna
1082-v4.png;1082;1082;Poprawna
1084-v1.png;1084;1084;Poprawna
1084-v2.png;1084;1084;Poprawna
1084-v3.png;1084;1084;Poprawna
1084-v4.png;1084;1084;Poprawna
1085-v1.png;1085;1085;Poprawna
1085-v2.png;1085;1085;Poprawna
1085-v3.png;1085;1085;Poprawna
1085-v4.png;1085;1085;Poprawna
1087-v1.png;1087;1087;Poprawna
1087-v2.png;1087;1087;Poprawna
1087-v3.png;1087;1087;Poprawna
1087-v4.png;1087;1087;Poprawna
1088-v1.png;1088;1088;Poprawna
1088-v2.png;1088;1088;Poprawna
1088-v3.png;1088;1088;Poprawna
1088-v4.png;1088;1088;Poprawna
1090-v1.png;1090;1090;Poprawna
1090-v2.png;1090;1090;Poprawna
1090-v3.png;1090;1090;Poprawna
1090-v4.png;1090;1090;Poprawna
1095-v1.png;1095;1095;Poprawna
1095-v2.png;1095;1095;Poprawna
1095-v3.png;1095;1095;Poprawna
1095-v4.png;1095;1095;Poprawna
1097-v1.png;1097;1097;Poprawna
1097-v2.png;1097;1097;Poprawna
1097-v3.png;1097;1097;Poprawna
1097-v4.png;1097;1097;Poprawna
1101-v1.png;1101;1101;Poprawna
1101-v2.png;1101;1101;Poprawna
1101-v3.png;1101;1101;Poprawna
1101-v4.png;1101;1101;Poprawna
1103-v1.png;1103;1103;Poprawna
1103-v2.png;1103;1103;Poprawna
1103-v3.png;1103;1103;Poprawna
1103-v4.png;1103;1103;Poprawna
1106-v1.png;1106;1106;Poprawna
1106-v2.png;1106;1106;Poprawna
1106-v3.png;1106;1106;Poprawna
1106-v4.png;1106;1106;Poprawna
1107-v1.png;1107;1107;Poprawna
1107-v2.png;1107;1107;Poprawna
1107-v3.png;1107;1107;Poprawna
1107-v4.png;1107;1107;Poprawna
1108-v1.png;1108;1108;Poprawna
1108-v2.png;1108;1108;Poprawna
1108-v3.png;1108;1108;Poprawna
1108-v4.png;1108;1108;Poprawna
1109-v1.png;1109;1109;Poprawna
1109-v2.png;1109;1109;Poprawna
1109-v3.png;1109;1109;Poprawna
1109-v4.png;1109;1109;Poprawna
1118-v1.png;1118;1118;Poprawna
1118-v2.png;1118;1118;Poprawna
1118-v3.png;1118;1118;Poprawna
1118-v4.png;1118;1118;Poprawna
1120-v1.png;1120;1120;Poprawna
1120-v2.png;1120;1120;Poprawna
1120-v3.png;1120;1120;Poprawna
1120-v4.png;1120;1120;Poprawna
1125-v1.png;1125;1125;Poprawna
1125-v2.png;1125;1125;Poprawna
1125-v3.png;1125;1125;Poprawna
1125-v4.png;1125;1125;Poprawna
1128-v1.png;1128;1128;Poprawna
1128-v2.png;1128;1128;Poprawna
1128-v3.png;1128;1128;Poprawna
1128-v4.png;1128;1128;Poprawna
1130-v1.png;1130;1130;Poprawna
1130-v2.png;1130;1130;Poprawna
1130-v3.png;1130;1130;Poprawna
1130-v4.png;1130;1130;Poprawna
1136-v1.png;1136;1136;Poprawna
1136-v2.png;1136;1136;Poprawna
1136-v3.png;1136;1136;Poprawna
1136-v4.png;1136;1136;Poprawna
1139-v1.png;1139;1139;Poprawna
1139-v2.png;1139;1139;Poprawna
1139-v3.png;1139;1139;Poprawna
1139-v4.png;1139;1139;Poprawna
1141-v1.png;1141;1141;Poprawna
1141-v2.png;1141;1141;Poprawna
1141-v3.png;1141;1141;Poprawna
1141-v4.png;1141;1141;Poprawna
1142-v1.png;1142;1142;Poprawna
1142-v2.png;1142;1142;Poprawna
1142-v3.png;1142;1142;Poprawna
1142-v4.png;1142;1142;Poprawna
1143-v1.png;1143;1143;Poprawna
1143-v2.png;1143;1143;Poprawna
1143-v3.png;1143;1143;Poprawna
1143-v4.png;1143;1143;Poprawna
1144-v1.png;1144;1144;Poprawna
1144-v2.png;1144;1144;Poprawna
